,id,title,genres,keywords,budget,revenue,popularity,vote_average,vote_count,runtime,release_date,original_language,production_countries,production_companies,cast,crew
0,5,Four Rooms,"['Crime', 'Comedy']","['hotel', ""new year's eve"", 'witch', 'bet', 'hotel room', 'sperm', 'los angeles', 'hoodlum', 'woman director']",4000000,4300000,22.88,6.50,530,98,1995,en,['United States of America'],"['Miramax Films', 'A Band Apart']","['Tim Roth', 'Antonio Banderas', 'Jennifer Beals', 'Madonna', 'Marisa Tomei', 'Bruce Willis', 'Quentin Tarantino', 'Sammi Davis', 'Amanda de Cadenet', 'Valeria Golino']","['Allison Anders', 'Alexandre Rockwell', 'Robert Rodriguez', 'Quentin Tarantino']"
1,11,Star Wars,"['Adventure', 'Action', 'Science Fiction']","['android', 'galaxy', 'death star', 'lightsaber', 'jedi', 'rescue mission', 'rebellion', 'planet', 'smuggler', 'the force', 'space opera', 'galactic war', 'stormtrooper', 'totalitarianism']",11000000,775398007,126.39,8.10,6624,121,1977,en,['United States of America'],"['Lucasfilm', 'Twentieth Century Fox Film Corporation']","['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Peter Cushing', 'Alec Guinness', 'Anthony Daniels', 'Kenny Baker', 'Peter Mayhew', 'David Prowse', 'James Earl Jones']",['George Lucas']
2,12,Finding Nemo,"['Animation', 'Family']","['father son relationship', 'underwater', 'great barrier reef', 'missing child', 'aftercreditsstinger', 'duringcreditsstinger', 'father son reunion', 'protective father']",94000000,940335536,85.69,7.60,6122,100,2003,en,['United States of America'],['Pixar Animation Studios'],"['Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould', 'Willem Dafoe', 'Brad Garrett', 'Allison Janney', 'Austin Pendleton', 'Stephen Root', 'Vicki Lewis', 'Joe Ranft']",['Andrew Stanton']
3,13,Forrest Gump,"['Comedy', 'Drama', 'Romance']","['vietnam veteran', 'hippie', 'mentally disabled', 'running', 'based on novel', 'vietnam', 'vietnam war', 'friendship', 'love', 'family relationships', 'bully', 'mother son relationship', 'military', 'shrimping', 'flashback']",55000000,677945399,138.13,8.20,7927,142,1994,en,['United States of America'],['Paramount Pictures'],"['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Mykelti Williamson', 'Sally Field', 'Michael Conner Humphreys', 'Hanna Hall', 'Haley Joel Osment', 'Siobhan Fallon', 'Afemo Omilami']",['Robert Zemeckis']
4,14,American Beauty,['Drama'],"['male nudity', 'female nudity', 'adultery', 'midlife crisis', 'coming out', 'first time', 'camcorder', 'virgin', 'nudity', 'film maker', 'estate agent', 'satire', 'loneliness', 'dark comedy', 'suburbia', 'coming of age', 'marijuana', 'exercise', 'parent child relationship', 'bittersweet', 'affair']",15000000,356296601,80.88,7.90,3313,122,1999,en,['United States of America'],"['DreamWorks SKG', 'Jinks/Cohen Company']","['Kevin Spacey', 'Annette Bening', 'Thora Birch', 'Wes Bentley', 'Mena Suvari', 'Chris Cooper', 'Scott Bakula', 'Peter Gallagher', 'Allison Janney', 'Sam Robards']",['Sam Mendes']
5,16,Dancer in the Dark,"['Drama', 'Crime', 'Music']","['individual', 'dancing', 'usa', 'robbery', 'factory worker', 'secret', 'factory', 'small town', 'dance', 'blindness and impaired vision', 'death penalty', 'immigrant', 'eye operation', 'eyesight', 'fantasy', 'naivety', 'self-abandonment', 'dying and death', 'van', 'friendship', 'murder', 'teacher', 'debt', 'execution', 'crime', 'police officer']",12800000,40031879,22.02,7.60,377,140,2000,en,"['Argentina', 'Denmark', 'Finland', 'France', 'Germany', 'Iceland', 'Italy', 'Netherlands', 'Norway', 'Sweden', 'United Kingdom', 'United States of America']","['Fine Line Features', 'Zentropa Entertainments', 'Danmarks Radio (DR)', 'SVT Drama', 'Arte', 'Memfis Film', 'France 3 Cinéma', 'Angel films', 'TV 1000', 'Canal+', 'Constantin Film Produktion', 'Yleisradio (YLE)', 'Arte France Cinéma', 'Westdeutscher Rundfunk (WDR)', 'Blind Spot Pictures Oy', 'Vrijzinnig Protestantse Radio Omroep (VPRO)', 'Film4', 'Liberator Productions', 'Icelandic Film', 'Film i Väst', 'Pain Unlimited GmbH Filmproduktion', 'Trust Film Svenska', 'Cinematograph A/S', 'What Else? B.V', 'Filmek A/S', 'Lantia Cinema & Audiovisivi']","['Björk', 'Catherine Deneuve', 'David Morse', 'Peter Stormare', 'Joel Grey', 'Cara Seymour', 'Vladica Kostic', 'Jean-Marc Barr', 'Vincent Paterson', 'Siobhan Fallon']",['Lars von Trier']
6,18,The Fifth Element,"['Adventure', 'Fantasy', 'Action', 'Thriller', 'Science Fiction']","['clone', 'taxi', 'cyborg', 'egypt', 'future', 'space travel', 'race against time', 'arms dealer', 'love', 'alien', 'priest', 'end of the world', 'good vs evil', 'shootout', 'police chase', 'new york city', 'space opera', 'military', 'opera singer', 'ancient astronaut', 'archeologist', 'ancient evil']",90000000,263920180,109.53,7.30,3885,126,1997,en,['France'],"['Columbia Pictures', 'Gaumont']","['Bruce Willis', 'Gary Oldman', 'Ian Holm', 'Milla Jovovich', 'Chris Tucker', 'Luke Perry', 'Brion James', 'Tom Lister Jr.', 'Vin Diesel', 'Lee Evans']",['Luc Besson']
7,19,Metropolis,"['Drama', 'Science Fiction']","['man vs machine', 'underground world', 'inventor', 'metropolis', 'worker', 'future', 'machine town', 'work', 'class society', 'dystopia', 'delirium', 'mad scientist', 'robot', 'destruction', 'silent film']",92620000,650422,32.35,8.00,657,153,1927,de,['Germany'],"['Paramount Pictures', 'Universum Film (UFA)']","['Brigitte Helm', 'Alfred Abel', 'Gustav Fröhlich', 'Rudolf Klein-Rogge', 'Fritz Rasp', 'Theodor Loos', 'Erwin Biswanger', 'Heinrich George', 'Olaf Storm', 'Helene Weigel']",['Fritz Lang']
8,20,My Life Without Me,"['Drama', 'Romance']","['farewell', 'responsability', 'dying and death', 'night shift', 'daughter', 'secret love', 'mother daughter relationship', 'woman director']",0,9726954,7.96,7.20,77,106,2003,en,"['Canada', 'Spain']","['El Deseo', 'Milestone Productions']","['Sarah Polley', 'Amanda Plummer', 'Scott Speedman', 'Leonor Watling', 'Deborah Harry', 'Mark Ruffalo', 'Maria de Medeiros', 'Julian Richings', 'Jessica Amlee', 'Kenya Jo Kennedy']",['Isabel Coixet']
9,22,Pirates of the Caribbean: The Curse of the Black Pearl,"['Adventure', 'Fantasy', 'Action']","['exotic island', 'blacksmith', 'east india trading company', 'gold', 'marriage proposal', 'mutiny', 'jamaica', 'skeleton', 'daughter', 'governor', 'pirate', 'alcoholic', 'swashbuckler', 'caribbean', 'aftercreditsstinger']",140000000,655011224,271.97,7.50,6985,143,2003,en,['United States of America'],"['Walt Disney Pictures', 'Jerry Bruckheimer Films']","['Johnny Depp', 'Geoffrey Rush', 'Orlando Bloom', 'Keira Knightley', 'Jack Davenport', 'Jonathan Pryce', 'Kevin McNally', 'Zoe Saldana', 'Lee Arenberg', 'Mackenzie Crook']",['Gore Verbinski']
