,,0
0,Dreaming of Joseph Lees,0
1,"First Love, Last Rites",0
2,Sphinx,37
3,Dolphins and Whales: Tribes of the Ocean,2
4,Ayurveda: Art of Being,2
5,Bathing Beauty,29
6,Faithful,23
7,The Nutcracker,10
8,Burn,2
9,"Pink Ribbons, Inc.",2
10,Alexander's Ragtime Band,23
11,Heartbeeps,22
12,Eye of the Dolphin,9
13,Opal Dream,1
14,A Guy Named Joe,35
15,Boom Town,7
16,Solomon and Sheba,35
17,"An Alan Smithee Film: Burn, Hollywood, Burn",29
18,The Perez Family,16
19,The Opposite Sex,31
20,Ruby in Paradise,35
21,The Cookout,11
22,The Grace Card,9
23,Woo,23
24,Excessive Force,6
25,Space Dogs,32
26,Jefferson in Paris,35
27,Crossover,34
28,Get on the Bus,30
29,The Egyptian,30
30,Sea Rex 3D: Journey to a Prehistoric World,2
31,Living Out Loud,23
32,Tumbleweeds,11
33,The 5th Quarter,9
34,Undiscovered,13
35,Shalako,14
36,The Visual Bible: The Gospel of John,30
37,One Night with the King,38
38,Princess Kaiulani,38
39,The Other Side of Heaven,14
40,The Legend of the Lone Ranger,12
41,Isn't She Great,11
42,Atlas Shrugged Part III: Who is John Galt?,34
43,From a Whisper to a Scream,11
44,The In Crowd,27
45,Sweet Charity,16
46,The Molly Maguires,30
47,Black Nativity,9
48,Girl 6,7
49,Galaxina,11
50,Beyond the Mat,2
51,The Pirate,11
52,Beastmaster 2: Through the Portal of Time,33
53,Show Boat,16
54,The Charge of the Light Brigade,28
55,Sweet Sweetback's Baadasssss Song,22
56,The Broadway Melody,23
57,Roar,6
58,The Virginity Hit,20
59,Tadpole,23
60,Without Limits,30
61,Hell's Angels,28
62,Alone With Her,34
63,An American Carol,15
64,The Big Parade,35
65,Prefontaine,0
66,Love Me Tender,6
67,Trapeze,0
68,Annie Get Your Gun,7
69,Snow Flower and the Secret Fan,17
70,Shooting Fish,16
71,From Justin to Kelly,23
72,Murderball,2
73,The Inhabited Island,25
74,How Stella Got Her Groove Back,16
75,The Lost City,39
76,The Monkey King 2,21
77,Connie and Carla,29
78,Gun Shy,22
79,Two Girls and a Guy,0
80,10th & Wolf,26
81,Home Run,38
82,Cats Don't Dance,10
83,The Horseman on the Roof,7
84,Spaced Invaders,10
85,Prophecy,27
86,Pocketful of Miracles,35
87,Mrs. Winterbourne,23
88,Tupac: Resurrection,7
89,Of Horses and Men,13
90,The Thief and the Cobbler,3
91,Full Frontal,23
92,The Wash,11
93,Damnation Alley,12
94,Prison,27
95,She Done Him Wrong,29
96,Extreme Ops,12
97,Mao's Last Dancer,39
98,The Rose,16
99,Winter Passing,17
100,Charly,23
101,Mambo Italiano,29
102,Dave Chappelle's Block Party,1
103,Foodfight!,32
104,A Farewell to Arms,23
105,Ishtar,14
106,The Extra Man,20
107,The Next Best Thing,16
