Unnamed: 0,movie_id,title,genres,keywords,budget,revenue,popularity,vote_average,vote_count,runtime,release_date,original_language,production_countries,production_companies,director,cast
0,108346,Dreaming of Joseph Lees,"['Romance', 'Drama']",['lust'],2000000,12044,0.11615,8.0,1,92,1999,en,"['United Kingdom', 'United States of America']",['Fox Entertainment Group'],['Eric Styles'],"['Rupert Graves', 'Samantha Morton', 'Nicholas Woodeson', 'Lee Ross', 'Felix Billson']"
1,118452,"First Love, Last Rites",['Drama'],"['sex', 'misfit']",300000,40542,0.374291,3.0,1,94,1998,en,['United States of America'],"['Forensic Films', 'Toast Films']",['Jesse Peretz'],"['Giovanni Ribisi', 'Natasha Gregson Wagner', 'Donal Logue', 'Robert John Burke', 'Jeannetta Arnette']"
2,47890,Sphinx,"['Adventure', 'Mystery', 'Thriller']","['cairo', 'based on novel', 'egypt', 'pyramid', 'museum', 'mummy', 'murder', 'independent film', 'curse', 'archeologist']",14000000,439564,0.310513,6.0,2,118,1981,en,"['Netherlands', 'United States of America']","['Orion Pictures', 'S & L Films']",['Franklin J. Schaffner'],"['Lesley-Anne Down', 'Frank Langella', 'Maurice Ronet', 'John Gielgud', 'Vic Tablian', 'Martin Benson', 'John Rhys-Davies', 'Nadim Sawalha', 'Saeed Jaffrey', 'William Hootkins']"
3,57612,Dolphins and Whales: Tribes of the Ocean,['Documentary'],"['dolphin', 'whale', 'imax', '3d']",6000000,7518876,0.041651,8.0,3,42,2008,en,"['Bahamas', 'United Kingdom']","['3D Entertainment', 'Gavin McKinney Underwater Productions']",['Jean-Jacques Mantello'],"['Daryl Hannah', 'Charlotte Rampling']"
4,73981,Ayurveda: Art of Being,['Documentary'],"['philosophy', 'india', 'healing']",300000,2074000,0.055868,5.5,3,101,2001,en,"['India', 'Switzerland', 'Germany']","['Pandora Filmproduktion', 'Monsoon Films Private Limited', 'Pan Nalin Pictures', 'Sunrise Filmvertriebs AG']",['Pan Nalin'],[]
5,43546,Bathing Beauty,"['Comedy', 'Music']","['musical', 'swimming pool', 'romantic comedy']",2361000,6892000,0.628051,7.0,4,101,1944,en,['United States of America'],['Metro-Goldwyn-Mayer (MGM)'],['George Sidney'],"['Red Skelton', 'Esther Williams', 'Basil Rathbone', 'Bill Goodwin', 'Jean Porter', 'Nana Bryant', 'Carlos Ramírez', 'Ethel Smith', 'Lina Romay', 'Helen Forrest']"
6,47502,Faithful,"['Comedy', 'Crime', 'Drama']","['kitchen', 'female protagonist', 'bathtub', 'flashback']",13000000,9789900,1.647335,4.8,4,91,1996,en,['United States of America'],"['New Line Cinema', 'Miramax Films']",['Paul Mazursky'],"['Cher', 'Chazz Palminteri', ""Ryan O'Neal"", 'Paul Mazursky', 'Amber Smith', 'Elisa Leonetti', 'Mark Nassar', 'Stephen Spinella', 'Jeffrey Wright', 'Allison Janney']"
7,73191,The Nutcracker,"['Family', 'Fantasy', 'Music']",['ballet'],19000000,2119994,0.068228,5.6,5,93,1993,en,['United States of America'],['Warner Bros. Family Entertainment'],['Emile Ardolino'],"['Darci Kistler', 'Damian Woetzel', 'Bart Robinson Cook', 'Kyra Nichols', 'Jessica Lynn Cohen']"
8,139948,Burn,"['Foreign', 'Documentary']","['michigan', 'crisis', 'detroit', 'woman director']",225000,111300,0.126676,6.9,6,86,2012,en,['United States of America'],['Apostle Productions'],"['Tom Putnam', 'Brenna Sanchez']","['Donald Austin', 'Brendan ""Doogie"" Milewski', 'Dave Parnell']"
9,89750,"Pink Ribbons, Inc.",['Documentary'],"['marketing', 'woman director']",900000,25000,0.097913,6.8,6,97,2011,en,"['United States of America', 'Canada']",['National Film Board of Canada (NFB)'],['Léa Pool'],"['Samantha King', 'Barbara Brenner', 'Barbara Ehrenreich', 'Nancy Brinker', 'Susan Love']"
