,movie_id,title,genres,keywords,budget,revenue,popularity,vote_average,vote_count,runtime,release_date,original_language,production_countries,production_companies,director,cast
0,108346,Dreaming of Joseph Lees,"['Romance', 'Drama']","['lust', 'love crime']",2000000,12044,11.615,8,1,92,1999,en,"['United Kingdom', 'United States of America']",['Fox Entertainment Group'],['Eric Styles'],"['Rupert Graves', 'Samantha Morton', 'Nicholas Woodeson', 'Lee Ross', 'Felix Billson']"
1,118452,"First Love, Last Rites",['Drama'],"['sex', 'misfit', 'boring']",300000,40542,374.291,3,1,94,1998,en,['United States of America'],"['Forensic Films', 'Toast Films']",['Jesse Peretz'],"['Giovanni Ribisi', 'Natasha Gregson Wagner', 'Donal Logue', 'Robert John Burke', 'Jeannetta Arnette']"
2,47890,Sphinx,"['Adventure', 'Mystery', 'Thriller']","['cairo', 'based on novel', 'egypt', 'pyramid', 'museum', 'mummy', 'murder', 'independent film', 'curse', 'egyptologist', 'archeologist']",14000000,439564,310.513,6,2,118,1981,en,"['Netherlands', 'United States of America']","['Orion Pictures', 'S & L Films']",['Franklin J. Schaffner'],"['Lesley-Anne Down', 'Frank Langella', 'Maurice Ronet', 'John Gielgud', 'Vic Tablian', 'Martin Benson', 'John Rhys-Davies', 'Nadim Sawalha', 'Saeed Jaffrey', 'William Hootkins']"
3,57612,Dolphins and Whales: Tribes of the Ocean,['Documentary'],"['dolphin', 'whale', 'killer whale', 'imax', '3d', 'manatee', 'conservation']",6000000,7518876,41.651,8,3,42,2008,en,"['Bahamas', 'United Kingdom']","['3D Entertainment', 'Gavin McKinney Underwater Productions']",['Jean-Jacques Mantello'],"['Daryl Hannah', 'Charlotte Rampling']"
4,73981,Ayurveda: Art of Being,['Documentary'],"['philosophy', 'india', 'healing']",300000,2074000,55.868,5.5,3,101,2001,en,"['India', 'Switzerland', 'Germany']","['Pandora Filmproduktion', 'Monsoon Films Private Limited', 'Pan Nalin Pictures', 'Sunrise Filmvertriebs AG']",['Pan Nalin'],[]
5,43546,Bathing Beauty,"['Comedy', 'Music']","['musical', ""girls' boarding school"", 'swimming pool', 'romantic comedy']",2361000,6892000,628.051,7,4,101,1944,en,['United States of America'],['Metro-Goldwyn-Mayer (MGM)'],['George Sidney'],"['Red Skelton', 'Esther Williams', 'Basil Rathbone', 'Bill Goodwin', 'Jean Porter', 'Nana Bryant', 'Carlos Ramírez', 'Ethel Smith', 'Lina Romay', 'Helen Forrest']"
6,47502,Faithful,"['Comedy', 'Crime', 'Drama']","['kitchen', 'female protagonist', 'bathtub', 'wedding anniversary', 'flashback']",13000000,9789900,1.647.335,4.8,4,91,1996,en,['United States of America'],"['New Line Cinema', 'Miramax Films']",['Paul Mazursky'],"['Cher', 'Chazz Palminteri', ""Ryan O'Neal"", 'Paul Mazursky', 'Amber Smith', 'Elisa Leonetti', 'Mark Nassar', 'Stephen Spinella', 'Jeffrey Wright', 'Allison Janney']"
7,73191,The Nutcracker,"['Family', 'Fantasy', 'Music']",['ballet'],19000000,2119994,68.228,5.6,5,93,1993,en,['United States of America'],['Warner Bros. Family Entertainment'],['Emile Ardolino'],"['Darci Kistler', 'Damian Woetzel', 'Bart Robinson Cook', 'Kyra Nichols', 'Jessica Lynn Cohen']"
8,139948,Burn,"['Foreign', 'Documentary']","['michigan', 'crisis', 'fire fighting', 'detroit', 'woman director']",225000,111300,126.676,6.9,6,86,2012,en,['United States of America'],['Apostle Productions'],"['Tom Putnam', 'Brenna Sanchez']","['Donald Austin', 'Brendan ""Doogie"" Milewski', 'Dave Parnell']"
9,89750,"Pink Ribbons, Inc.",['Documentary'],"['marketing', 'breast cancer', 'corporatism', 'woman director']",900000,25000,97.913,6.8,6,97,2011,en,"['United States of America', 'Canada']",['National Film Board of Canada (NFB)'],['Léa Pool'],"['Samantha King', 'Barbara Brenner', 'Barbara Ehrenreich', 'Nancy Brinker', 'Susan Love']"
10,43839,Alexander's Ragtime Band,"['Drama', 'Music', 'Romance']","['dance', 'ragtime', 'concert tour']",2000000,4000000,483.974,4.8,6,106,1938,en,['United States of America'],['Twentieth Century Fox Film Corporation'],['Henry King'],"['Tyrone Power', 'Alice Faye', 'Don Ameche', 'Ethel Merman', 'Jack Haley', 'Jean Hersholt', 'Helen Westley', 'John Carradine', 'Paul Hurst', 'Wally Vernon']"
11,73247,Heartbeeps,"['Comedy', 'Romance', 'Family']","['servant', 'future', 'chase', 'lovers', 'outlaw', 'robot']",10000000,2154696,518.056,3.8,6,79,1981,en,['United States of America'],['Universal Pictures'],['Allan Arkush'],"['Andy Kaufman', 'Bernadette Peters', 'Randy Quaid', 'Kenneth McMillan', 'Melanie Mayron', 'Christopher Guest', 'Richard B. Shull', 'Dick Miller', 'Kathleen Freeman', 'Mary Woronov']"
12,46849,Eye of the Dolphin,['Drama'],"['dolphin', 'island', 'research', 'tourist', 'town']",2500000,71904,301.884,7.1,7,100,2007,en,['United States of America'],"['Gold/Miller Productions', '120dB Films', 'Paradise Productions', 'Quantum Entertainment', 'MovieBank', 'Galaxy Productions']",['Michael D. Sellers'],"['Carly Schroeder', 'Adrian Dunbar', 'George Harris', 'Katharine Ross', 'Christine Adams', 'Jane Lynch', 'Andrea Bowen', 'Rudy Levarity', 'Joey Jameka', 'Vivica Watkins']"
13,15699,Opal Dream,"['Drama', 'Family', 'Foreign']","['miner', 'australia', 'terminal illness', 'imaginary friend', 'independent film']",5000000,140666,1.458.884,6.1,7,86,2006,en,['Australia'],['Renaissance Films'],['Peter Cattaneo'],"['Sapphire Boyce', 'Christian Byers', 'Vince Colosimo', 'Jacqueline McKenzie', 'Robert Morgan']"
14,43306,A Guy Named Joe,"['Drama', 'Romance', 'War']","['pilot', 'airplane', 'ghost']",2627000,5363000,531.444,6,8,120,1944,en,['United States of America'],['Metro-Goldwyn-Mayer (MGM)'],['Victor Fleming'],"['Spencer Tracy', 'Irene Dunne', 'Van Johnson', 'Ward Bond', 'James Gleason', 'Lionel Barrymore', 'Barry Nelson', 'Esther Williams', ""Henry O'Neill"", 'Don DeFore']"
15,55604,Boom Town,"['Adventure', 'Drama', 'Romance']","['partnership', 'oil', 'oil tycoon', 'wildcatter', 'oil field']",2000000,9172000,1.867.004,6.5,8,119,1940,en,['United States of America'],['Metro-Goldwyn-Mayer (MGM)'],['Jack Conway'],"['Clark Gable', 'Spencer Tracy', 'Claudette Colbert', 'Hedy Lamarr', 'Frank Morgan', 'Lionel Atwill', 'Chill Wills', 'Bess Flowers', 'Marion Martin', 'Minna Gombell']"
16,29996,Solomon and Sheba,"['Drama', 'History', 'Romance', 'War']","['israel', 'egypt', 'religion and supernatural', 'epic']",5000000,12200000,835.617,5.4,8,139,1959,en,['United States of America'],['Edward Small Productions'],['King Vidor'],"['Yul Brynner', 'Gina Lollobrigida', 'George Sanders', 'Marisa Pavan', 'David Farrar']"
17,78149,"An Alan Smithee Film: Burn, Hollywood, Burn",['Comedy'],['alan smithee'],10000000,45779,666.218,3,9,86,1998,en,['United States of America'],"['Hollywood Pictures', 'Cinergi Pictures Entertainment']","['Alan Smithee', 'Arthur Hiller']","['Jackie Chan', 'Sylvester Stallone', 'Whoopi Goldberg', 'Eric Idle', ""Ryan O'Neal"", 'Coolio', 'Chuck D.', 'Richard Jeni', 'Leslie Stefanson', 'Harvey Weinstein']"
18,63020,The Perez Family,"['Comedy', 'Drama', 'Romance']","['immigration', 'independent film', 'woman director', 'political prisoner', 'cuban refugees']",11000000,2832826,1.187.671,6.6,9,113,1995,en,['United States of America'],"['Samuel Goldwyn Company, The']",['Mira Nair'],"['Marisa Tomei', 'Alfred Molina', 'Anjelica Huston', 'Chazz Palminteri', 'Trini Alvarado']"
19,301748,The Opposite Sex,['Comedy'],"['bet', 'divorce', 'gender', 'battle of the sexes', 'life competition']",3300000,45000,2.964.785,4.1,9,96,2014,en,['United States of America'],"['Magna Global Entertainment', 'Verdi Productions']","['Jonathan Silverman', 'Jennifer Finnigan']","['Mena Suvari', 'Eric Roberts', 'Kristin Chenoweth', 'Dana Ashbrook', 'Kenan Thompson']"
20,47889,Ruby in Paradise,"['Drama', 'Romance']",['independent film'],800000,1001437,59.424,5.6,10,114,1993,en,['United States of America'],"['Ruby in Paradise', 'Full Crew/Say Yea']",['Victor Nunez'],"['Ashley Judd', 'Todd Field', 'Bentley Mitchum', 'Dorothy Lyman', 'Allison Dean']"
21,18475,The Cookout,"['Comedy', 'Drama']",['comedy'],16000000,12009070,830.596,4.6,10,97,2004,en,['United States of America'],['Cookout Productions'],['Lance Rivera'],"['Ja Rule', 'Tim Meadows', 'Jenifer Lewis', 'Jonathan Silverman', 'Eve']"
22,54897,The Grace Card,['Drama'],"[""family's daily life"", 'bible', 'platonic love', 'hope', 'church service', 'death of a friend', 'police everyday life']",200000,2295733,616.283,6.5,10,101,2011,en,['United States of America'],['GraceWorks Pictures'],['David Evans '],"['Michael Joiner', 'Michael Higgenbottom', 'Louis Gossett, Jr.', 'Cindy Hodge']"
23,58680,Woo,"['Comedy', 'Romance']","['blind date', 'love', 'manhattan, new york city', 'woman director']",13000000,8026971,1.750.054,5.5,10,84,1998,en,['United States of America'],"['New Line Cinema', 'New Deal Productions', 'Gotham Entertainment Group']",['Daisy von Scherler Mayer'],"['Jada Pinkett Smith', 'Tommy Davidson', 'Duane Martin', 'Michael Ralph', 'Darrel Heath', 'Dave Chappelle', 'Paula Jai Parker', 'LL Cool J', 'Dartanyan Edmonds', 'Foxy Brown']"
24,24227,Excessive Force,['Action'],"['police', 'shoulder holster', 'police shootout', 'shootout at a train station']",3000000,1200000,1.279.106,4.5,10,87,1993,en,['United States of America'],"['New Line Cinema', 'Ian Page Productions', '3 Arts Entertainment']",['Jon Hess'],"['Thomas Ian Griffith', 'Lance Henriksen', 'James Earl Jones', 'Burt Young', 'Tony Todd']"
25,36696,Space Dogs,"['Family', 'Animation']","['russia', 'space mission', 'space', 'outer space', 'dog']",25000000,6500000,5.753.564,6.3,10,85,2010,ru,"['United States of America', 'Russia']",['CN Film'],"['Inna Evlannikova', 'Svyatoslav Ushakov']","['Anna Bolshova', 'Evgeny Mironov', 'Sergey Garmash', 'Aleksandr Bashirov', 'Elena Yakovleva', 'Chloë Grace Moretz', 'Dorothy Elias-Fahn', 'Spike Spencer', 'Richard Epcar', 'J. B. Blanc']"
26,87729,Jefferson in Paris,"['Drama', 'Romance']","['france', 'revolution', 'biography', 'president', 'history']",14000000,2474000,900.442,5.2,10,139,1995,en,['United States of America'],"['Merchant Ivory Productions', 'Touchstone Pictures']",['James Ivory'],"['Nick Nolte', 'Greta Scacchi', 'Thandie Newton', 'Gwyneth Paltrow', 'Jean-Pierre Aumont', 'Simon Callow', 'Seth Gilliam', 'James Earl Jones', 'Michael Lonsdale', 'Nancy Marchand']"
27,14351,Crossover,"['Action', 'Adventure', 'Drama']","['street gang', 'black people', 'sport', 'high school sports']",5800000,7000000,3.201.886,4.2,10,95,2006,en,['United States of America'],"['360 Pictures', 'Dribble Productions', 'Platinum Equity']",['Preston A. Whitmore II'],"['Anthony Mackie', 'Marcello Thedford', 'Allen Payne', 'Wesley Jonathan', 'Wayne Brady', ""Lil' JJ"", 'Philip Champion', 'Alecia Jai Fears', 'Kristen Wilson', 'William L. Johnson']"
28,49471,Get on the Bus,['Drama'],"['washington d.c.', 'bus', 'march']",2400000,5731103,4.623.059,7,11,120,1996,en,['United States of America'],"['Columbia Pictures', '40 Acres & A Mule Filmworks']",['Spike Lee'],"['Ossie Davis', 'Charles S. Dutton', 'Andre Braugher', 'Richard Belzer', ""De'Aundre Bonds"", 'Thomas Jefferson Byrd', 'Isaiah Washington', 'Bernie Mac', 'Wendell Pierce', 'Harry Lennix']"
29,24973,The Egyptian,"['History', 'Drama']",['egypt'],5000000,15000000,4.079.111,6,11,139,1954,en,['United States of America'],['Twentieth Century Fox Film Corporation'],['Michael Curtiz'],"['Jean Simmons', 'Victor Mature', 'Gene Tierney', 'Peter Ustinov', 'Edmund Purdom', 'Michael Wilding', 'Bella Darvi', 'Judith Evelyn', 'Henry Daniell', 'John Carradine']"
30,78394,Sea Rex 3D: Journey to a Prehistoric World,['Documentary'],"['prehistoric', 'dinosaur', 'imax', 'underwater scene', '3d', 'short']",5000000,4074023,4.498.368,5.9,11,41,2010,en,"['France', 'United Kingdom']","['N3D Land Productions', 'Mantello Brothers Productions']","['Ronan Chapalain', 'Pascal Vuong']","['Guillaume Denaiffe', 'Norbert Ferrer', 'Chloe Hollings', 'Richard Rider', 'Tom Yang']"
31,46889,Living Out Loud,"['Comedy', 'Drama', 'Romance']","['female protagonist', 'relationship', 'divorce', 'brooklyn bridge']",12000000,12902790,700.792,5.3,11,100,1998,en,['United States of America'],"['New Line Cinema', 'Jersey Films']",['Richard LaGravenese'],"['Holly Hunter', 'Danny DeVito', 'Queen Latifah', 'Martin Donovan', 'Rachael Leigh Cook']"
32,55123,Tumbleweeds,"['Comedy', 'Drama']",['independent film'],312000,1281176,1.505.703,6.2,11,102,1999,en,['United States of America'],['Fine Line Features'],"[""Gavin O'Connor""]","['Janet McTeer', 'Kimberly J. Brown', 'Jennifer Paige']"
