,movie_id,title,genres,keywords,budget,revenue,popularity,vote_average,vote_count,runtime,release_date,original_language,production_countries,production_companies,director,cast
0,108346,Dreaming of Joseph Lees,"['Romance', 'Drama']","['lust', 'love crime']",2000000,7,11615,8.0,1,92.0,1999,en,"['United Kingdom', 'United States of America']",['Fox Entertainment Group'],['Eric Styles'],"['Rupert Graves', 'Samantha Morton', 'Nicholas Woodeson', 'Lee Ross', 'Felix Billson']"
1,118452,"First Love, Last Rites",['Drama'],"['sex', 'misfit', 'boring']",300000,40542,374291,3.0,1,94.0,1998,en,['United States of America'],"['Forensic Films', 'Toast Films']",['Jesse Peretz'],"['Giovanni Ribisi', 'Natasha Gregson Wagner', 'Donal Logue', 'Robert John Burke', 'Jeannetta Arnette']"
2,47890,Sphinx,"['Adventure', 'Mystery', 'Thriller']","['cairo', 'based on novel', 'egypt', 'pyramid', 'museum', 'mummy', 'murder', 'independent film', 'curse', 'egyptologist', 'archeologist']",14000000,439564,310513,6.0,2,118.0,1981,en,"['Netherlands', 'United States of America']","['Orion Pictures', 'S & L Films']",['Franklin J. Schaffner'],"['Lesley-Anne Down', 'Frank Langella', 'Maurice Ronet', 'John Gielgud', 'Vic Tablian', 'Martin Benson', 'John Rhys-Davies', 'Nadim Sawalha', 'Saeed Jaffrey', 'William Hootkins']"
3,57612,Dolphins and Whales: Tribes of the Ocean,['Documentary'],"['dolphin', 'whale', 'killer whale', 'imax', '3d', 'manatee', 'conservation']",6000000,7518876,41651,8.0,3,42.0,2008,en,"['Bahamas', 'United Kingdom']","['3D Entertainment', 'Gavin McKinney Underwater Productions']",['Jean-Jacques Mantello'],"['Daryl Hannah', 'Charlotte Rampling']"
4,73981,Ayurveda: Art of Being,['Documentary'],"['philosophy', 'india', 'healing']",300000,2074000,55868,45051.0,3,101.0,2001,en,"['India', 'Switzerland', 'Germany']","['Pandora Filmproduktion', 'Monsoon Films Private Limited', 'Pan Nalin Pictures', 'Sunrise Filmvertriebs AG']",['Pan Nalin'],[]
5,43546,Bathing Beauty,"['Comedy', 'Music']","['musical', ""girls' boarding school"", 'swimming pool', 'romantic comedy']",2361000,6892000,628051,7.0,4,101.0,1944,en,['United States of America'],['Metro-Goldwyn-Mayer (MGM)'],['George Sidney'],"['Red Skelton', 'Esther Williams', 'Basil Rathbone', 'Bill Goodwin', 'Jean Porter', 'Nana Bryant', 'Carlos Ramírez', 'Ethel Smith', 'Lina Romay', 'Helen Forrest']"
6,47502,Faithful,"['Comedy', 'Crime', 'Drama']","['kitchen', 'female protagonist', 'bathtub', 'wedding anniversary', 'flashback']",13000000,9789900,1647335,45142.0,4,91.0,1996,en,['United States of America'],"['New Line Cinema', 'Miramax Films']",['Paul Mazursky'],"['Cher', 'Chazz Palminteri', ""Ryan O'Neal"", 'Paul Mazursky', 'Amber Smith', 'Elisa Leonetti', 'Mark Nassar', 'Stephen Spinella', 'Jeffrey Wright', 'Allison Janney']"
7,73191,The Nutcracker,"['Family', 'Fantasy', 'Music']",['ballet'],19000000,2119994,68228,45082.0,5,93.0,1993,en,['United States of America'],['Warner Bros. Family Entertainment'],['Emile Ardolino'],"['Darci Kistler', 'Damian Woetzel', 'Bart Robinson Cook', 'Kyra Nichols', 'Jessica Lynn Cohen']"
8,139948,Burn,"['Foreign', 'Documentary']","['michigan', 'crisis', 'fire fighting', 'detroit', 'woman director']",225000,111300,126676,45175.0,6,86.0,2012,en,['United States of America'],['Apostle Productions'],"['Tom Putnam', 'Brenna Sanchez']","['Donald Austin', 'Brendan ""Doogie"" Milewski', 'Dave Parnell']"
9,89750,"Pink Ribbons, Inc.",['Documentary'],"['marketing', 'breast cancer', 'corporatism', 'woman director']",900000,25000,97913,45144.0,6,97.0,2011,en,"['United States of America', 'Canada']",['National Film Board of Canada (NFB)'],['Léa Pool'],"['Samantha King', 'Barbara Brenner', 'Barbara Ehrenreich', 'Nancy Brinker', 'Susan Love']"
10,43839,Alexander's Ragtime Band,"['Drama', 'Music', 'Romance']","['dance', 'ragtime', 'concert tour']",2000000,4000000,483974,45142.0,6,106.0,1938,en,['United States of America'],['Twentieth Century Fox Film Corporation'],['Henry King'],"['Tyrone Power', 'Alice Faye', 'Don Ameche', 'Ethel Merman', 'Jack Haley', 'Jean Hersholt', 'Helen Westley', 'John Carradine', 'Paul Hurst', 'Wally Vernon']"
